wday,week,year,tot
Sun,1,2016,50
Sun,1,2017,53
Sun,2,2016,43
Sun,2,2017,51
Sun,3,2016,42
Sun,3,2017,54
Sun,4,2016,48
Sun,4,2017,50
Sun,5,2016,43
Sun,5,2017,40
Sun,6,2016,38
Sun,6,2017,47
Sun,7,2016,35
Sun,7,2017,42
Sun,8,2016,49
Sun,8,2017,62
Sun,9,2016,45
Sun,9,2017,42
Sun,10,2016,40
Sun,10,2017,57
Sun,11,2016,42
Sun,11,2017,40
Sun,12,2016,51
Sun,12,2017,49
Sun,13,2016,48
Sun,13,2017,63
Sun,14,2016,48
Sun,14,2017,55
Sun,15,2016,66
Sun,15,2017,58
Sun,16,2016,66
Sun,16,2017,56
Sun,17,2016,62
Sun,17,2017,61
Sun,18,2016,54
Sun,18,2017,59
Sun,19,2016,33
Sun,19,2017,45
Sun,20,2016,59
Sun,20,2017,58
Sun,21,2016,63
Sun,21,2017,64
Sun,22,2016,37
Sun,22,2017,54
Sun,23,2016,45
Sun,23,2017,88
Sun,24,2016,67
Sun,24,2017,78
Sun,25,2016,61
Sun,25,2017,57
Sun,26,2016,62
Sun,26,2017,97
Sun,27,2016,61
Sun,27,2017,64
Sun,28,2016,62
Sun,28,2017,51
Sun,29,2016,60
Sun,29,2017,75
Sun,30,2016,79
Sun,30,2017,67
Sun,31,2016,66
Sun,31,2017,80
Sun,32,2016,65
Sun,32,2017,69
Sun,33,2016,69
Sun,33,2017,82
Sun,34,2016,64
Sun,34,2017,77
Sun,35,2016,70
Sun,35,2017,75
Sun,36,2016,45
Sun,36,2017,67
Sun,37,2016,74
Sun,37,2017,55
Sun,38,2016,77
Sun,38,2017,77
Sun,39,2016,73
Sun,39,2017,72
Sun,40,2016,46
Sun,40,2017,60
Sun,41,2016,53
Sun,41,2017,66
Sun,42,2016,87
Sun,42,2017,69
Sun,43,2016,65
Sun,43,2017,76
Sun,44,2016,67
Sun,44,2017,48
Sun,45,2016,65
Sun,45,2017,58
Sun,46,2016,61
Sun,46,2017,90
Sun,47,2016,65
Sun,47,2017,64
Sun,48,2016,57
Sun,48,2017,59
Sun,49,2016,46
Sun,49,2017,51
Sun,50,2016,50
Sun,50,2017,52
Sun,51,2016,45
Sun,51,2017,60
Sun,52,2016,27
Sun,52,2017,51
Sun,53,2017,11
Mon,1,2016,53
Mon,1,2017,56
Mon,2,2016,42
Mon,2,2017,53
Mon,3,2016,30
Mon,3,2017,50
Mon,4,2016,70
Mon,4,2017,56
Mon,5,2016,33
Mon,5,2017,71
Mon,6,2016,49
Mon,6,2017,52
Mon,7,2016,40
Mon,7,2017,63
Mon,8,2016,51
Mon,8,2017,48
Mon,9,2016,34
Mon,9,2017,61
Mon,10,2016,54
Mon,10,2017,69
Mon,11,2016,46
Mon,11,2017,60
Mon,12,2016,61
Mon,12,2017,65
Mon,13,2016,57
Mon,13,2017,58
Mon,14,2016,41
Mon,14,2017,61
Mon,15,2016,49
Mon,15,2017,72
Mon,16,2016,65
Mon,16,2017,70
Mon,17,2016,68
Mon,17,2017,83
Mon,18,2016,44
Mon,18,2017,66
Mon,19,2016,54
Mon,19,2017,76
Mon,20,2016,55
Mon,20,2017,62
Mon,21,2016,59
Mon,21,2017,77
Mon,22,2016,56
Mon,22,2017,74
Mon,23,2016,60
Mon,23,2017,59
Mon,24,2016,70
Mon,24,2017,70
Mon,25,2016,65
Mon,25,2017,70
Mon,26,2016,67
Mon,26,2017,91
Mon,27,2016,66
Mon,27,2017,58
Mon,28,2016,71
Mon,28,2017,78
Mon,29,2016,73
Mon,29,2017,71
Mon,30,2016,74
Mon,30,2017,93
Mon,31,2016,88
Mon,31,2017,78
Mon,32,2016,72
Mon,32,2017,71
Mon,33,2016,76
Mon,33,2017,84
Mon,34,2016,71
Mon,34,2017,83
Mon,35,2016,79
Mon,35,2017,81
Mon,36,2016,65
Mon,36,2017,73
Mon,37,2016,74
Mon,37,2017,63
Mon,38,2016,89
Mon,38,2017,56
Mon,39,2016,73
Mon,39,2017,76
Mon,40,2016,78
Mon,40,2017,65
Mon,41,2016,44
Mon,41,2017,64
Mon,42,2016,67
Mon,42,2017,74
Mon,43,2016,79
Mon,43,2017,86
Mon,44,2016,57
Mon,44,2017,68
Mon,45,2016,59
Mon,45,2017,68
Mon,46,2016,79
Mon,46,2017,66
Mon,47,2016,64
Mon,47,2017,63
Mon,48,2016,59
Mon,48,2017,80
Mon,49,2016,48
Mon,49,2017,51
Mon,50,2016,54
Mon,50,2017,60
Mon,51,2016,59
Mon,51,2017,65
Mon,52,2016,43
Mon,52,2017,41
Tue,1,2016,57
Tue,1,2017,65
Tue,2,2016,44
Tue,2,2017,47
Tue,3,2016,47
Tue,3,2017,53
Tue,4,2016,51
Tue,4,2017,53
Tue,5,2016,49
Tue,5,2017,55
Tue,6,2016,45
Tue,6,2017,47
Tue,7,2016,55
Tue,7,2017,63
Tue,8,2016,39
Tue,8,2017,73
Tue,9,2016,56
Tue,9,2017,59
Tue,10,2016,55
Tue,10,2017,58
Tue,11,2016,44
Tue,11,2017,52
Tue,12,2016,49
Tue,12,2017,49
Tue,13,2016,48
Tue,13,2017,67
Tue,14,2016,45
Tue,14,2017,76
Tue,15,2016,44
Tue,15,2017,43
Tue,16,2016,52
Tue,16,2017,51
Tue,17,2016,57
Tue,17,2017,63
Tue,18,2016,46
Tue,18,2017,64
Tue,19,2016,55
Tue,19,2017,53
Tue,20,2016,53
Tue,20,2017,63
Tue,21,2016,48
Tue,21,2017,64
Tue,22,2016,66
Tue,22,2017,78
Tue,23,2016,59
Tue,23,2017,70
Tue,24,2016,64
Tue,24,2017,64
Tue,25,2016,53
Tue,25,2017,57
Tue,26,2016,70
Tue,26,2017,66
Tue,27,2016,65
Tue,27,2017,88
Tue,28,2016,59
Tue,28,2017,75
Tue,29,2016,69
Tue,29,2017,65
Tue,30,2016,68
Tue,30,2017,77
Tue,31,2016,69
Tue,31,2017,67
Tue,32,2016,81
Tue,32,2017,57
Tue,33,2016,74
Tue,33,2017,82
Tue,34,2016,75
Tue,34,2017,62
Tue,35,2016,73
Tue,35,2017,65
Tue,36,2016,77
Tue,36,2017,80
Tue,37,2016,77
Tue,37,2017,62
Tue,38,2016,71
Tue,38,2017,68
Tue,39,2016,77
Tue,39,2017,61
Tue,40,2016,68
Tue,40,2017,72
Tue,41,2016,60
Tue,41,2017,84
Tue,42,2016,72
Tue,42,2017,66
Tue,43,2016,81
Tue,43,2017,53
Tue,44,2016,65
Tue,44,2017,68
Tue,45,2016,56
Tue,45,2017,64
Tue,46,2016,82
Tue,46,2017,61
Tue,47,2016,58
Tue,47,2017,37
Tue,48,2016,78
Tue,48,2017,63
Tue,49,2016,59
Tue,49,2017,55
Tue,50,2016,52
Tue,50,2017,76
Tue,51,2016,70
Tue,51,2017,54
Tue,52,2016,54
Tue,52,2017,48
Wed,1,2016,38
Wed,1,2017,58
Wed,2,2016,50
Wed,2,2017,44
Wed,3,2016,65
Wed,3,2017,59
Wed,4,2016,40
Wed,4,2017,55
Wed,5,2016,30
Wed,5,2017,42
Wed,6,2016,26
Wed,6,2017,38
Wed,7,2016,44
Wed,7,2017,50
Wed,8,2016,42
Wed,8,2017,54
Wed,9,2016,40
Wed,9,2017,40
Wed,10,2016,46
Wed,10,2017,65
Wed,11,2016,52
Wed,11,2017,46
Wed,12,2016,49
Wed,12,2017,58
Wed,13,2016,38
Wed,13,2017,48
Wed,14,2016,45
Wed,14,2017,71
Wed,15,2016,53
Wed,15,2017,64
Wed,16,2016,51
Wed,16,2017,60
Wed,17,2016,41
Wed,17,2017,74
Wed,18,2016,52
Wed,18,2017,71
Wed,19,2016,61
Wed,19,2017,55
Wed,20,2016,57
Wed,20,2017,54
Wed,21,2016,56
Wed,21,2017,68
Wed,22,2016,51
Wed,22,2017,79
Wed,23,2016,53
Wed,23,2017,84
Wed,24,2016,66
Wed,24,2017,63
Wed,25,2016,71
Wed,25,2017,86
Wed,26,2016,69
Wed,26,2017,70
Wed,27,2016,58
Wed,27,2017,87
Wed,28,2016,68
Wed,28,2017,67
Wed,29,2016,59
Wed,29,2017,70
Wed,30,2016,71
Wed,30,2017,85
Wed,31,2016,71
Wed,31,2017,79
Wed,32,2016,76
Wed,32,2017,81
Wed,33,2016,72
Wed,33,2017,53
Wed,34,2016,64
Wed,34,2017,63
Wed,35,2016,67
Wed,35,2017,70
Wed,36,2016,76
Wed,36,2017,69
Wed,37,2016,64
Wed,37,2017,71
Wed,38,2016,67
Wed,38,2017,67
Wed,39,2016,53
Wed,39,2017,71
Wed,40,2016,71
Wed,40,2017,52
Wed,41,2016,60
Wed,41,2017,62
Wed,42,2016,63
Wed,42,2017,54
Wed,43,2016,49
Wed,43,2017,64
Wed,44,2016,38
Wed,44,2017,62
Wed,45,2016,61
Wed,45,2017,52
Wed,46,2016,52
Wed,46,2017,48
Wed,47,2016,61
Wed,47,2017,59
Wed,48,2016,67
Wed,48,2017,70
Wed,49,2016,51
Wed,49,2017,49
Wed,50,2016,63
Wed,50,2017,57
Wed,51,2016,62
Wed,51,2017,48
Wed,52,2016,64
Wed,52,2017,43
Thu,1,2016,40
Thu,1,2017,55
Thu,2,2016,51
Thu,2,2017,37
Thu,3,2016,48
Thu,3,2017,50
Thu,4,2016,41
Thu,4,2017,49
Thu,5,2016,40
Thu,5,2017,50
Thu,6,2016,37
Thu,6,2017,60
Thu,7,2016,54
Thu,7,2017,50
Thu,8,2016,38
Thu,8,2017,65
Thu,9,2016,35
Thu,9,2017,61
Thu,10,2016,49
Thu,10,2017,62
Thu,11,2016,51
Thu,11,2017,46
Thu,12,2016,49
Thu,12,2017,53
Thu,13,2016,35
Thu,13,2017,46
Thu,14,2016,47
Thu,14,2017,53
Thu,15,2016,63
Thu,15,2017,56
Thu,16,2016,48
Thu,16,2017,59
Thu,17,2016,41
Thu,17,2017,64
Thu,18,2016,48
Thu,18,2017,55
Thu,19,2016,43
Thu,19,2017,72
Thu,20,2016,48
Thu,20,2017,74
Thu,21,2016,66
Thu,21,2017,49
Thu,22,2016,51
Thu,22,2017,57
Thu,23,2016,62
Thu,23,2017,80
Thu,24,2016,64
Thu,24,2017,77
Thu,25,2016,51
Thu,25,2017,73
Thu,26,2016,53
Thu,26,2017,65
Thu,27,2016,63
Thu,27,2017,70
Thu,28,2016,65
Thu,28,2017,75
Thu,29,2016,71
Thu,29,2017,60
Thu,30,2016,58
Thu,30,2017,63
Thu,31,2016,67
Thu,31,2017,63
Thu,32,2016,60
Thu,32,2017,59
Thu,33,2016,73
Thu,33,2017,57
Thu,34,2016,66
Thu,34,2017,65
Thu,35,2016,60
Thu,35,2017,71
Thu,36,2016,68
Thu,36,2017,76
Thu,37,2016,66
Thu,37,2017,79
Thu,38,2016,67
Thu,38,2017,63
Thu,39,2016,59
Thu,39,2017,74
Thu,40,2016,75
Thu,40,2017,57
Thu,41,2016,65
Thu,41,2017,61
Thu,42,2016,60
Thu,42,2017,69
Thu,43,2016,62
Thu,43,2017,60
Thu,44,2016,21
Thu,44,2017,53
Thu,45,2016,58
Thu,45,2017,58
Thu,46,2016,67
Thu,46,2017,55
Thu,47,2016,33
Thu,47,2017,36
Thu,48,2016,52
Thu,48,2017,83
Thu,49,2016,44
Thu,49,2017,50
Thu,50,2016,55
Thu,50,2017,50
Thu,51,2016,64
Thu,51,2017,61
Thu,52,2016,47
Thu,52,2017,50
Fri,1,2016,43
Fri,1,2017,53
Fri,2,2016,40
Fri,2,2017,44
Fri,3,2016,41
Fri,3,2017,47
Fri,4,2016,38
Fri,4,2017,36
Fri,5,2016,41
Fri,5,2017,65
Fri,6,2016,34
Fri,6,2017,47
Fri,7,2016,41
Fri,7,2017,49
Fri,8,2016,38
Fri,8,2017,42
Fri,9,2016,46
Fri,9,2017,42
Fri,10,2016,34
Fri,10,2017,55
Fri,11,2016,42
Fri,11,2017,60
Fri,12,2016,54
Fri,12,2017,46
Fri,13,2016,47
Fri,13,2017,47
Fri,14,2016,45
Fri,14,2017,44
Fri,15,2016,41
Fri,15,2017,72
Fri,16,2016,58
Fri,16,2017,61
Fri,17,2016,51
Fri,17,2017,65
Fri,18,2016,34
Fri,18,2017,53
Fri,19,2016,64
Fri,19,2017,61
Fri,20,2016,52
Fri,20,2017,71
Fri,21,2016,43
Fri,21,2017,55
Fri,22,2016,48
Fri,22,2017,54
Fri,23,2016,41
Fri,23,2017,62
Fri,24,2016,49
Fri,24,2017,64
Fri,25,2016,47
Fri,25,2017,75
Fri,26,2016,59
Fri,26,2017,58
Fri,27,2016,50
Fri,27,2017,65
Fri,28,2016,39
Fri,28,2017,57
Fri,29,2016,56
Fri,29,2017,66
Fri,30,2016,55
Fri,30,2017,53
Fri,31,2016,56
Fri,31,2017,57
Fri,32,2016,65
Fri,32,2017,67
Fri,33,2016,69
Fri,33,2017,69
Fri,34,2016,75
Fri,34,2017,59
Fri,35,2016,68
Fri,35,2017,58
Fri,36,2016,64
Fri,36,2017,58
Fri,37,2016,46
Fri,37,2017,79
Fri,38,2016,65
Fri,38,2017,45
Fri,39,2016,75
Fri,39,2017,48
Fri,40,2016,60
Fri,40,2017,54
Fri,41,2016,54
Fri,41,2017,59
Fri,42,2016,38
Fri,42,2017,51
Fri,43,2016,61
Fri,43,2017,50
Fri,44,2016,55
Fri,44,2017,60
Fri,45,2016,65
Fri,45,2017,45
Fri,46,2016,44
Fri,46,2017,43
Fri,47,2016,50
Fri,47,2017,51
Fri,48,2016,62
Fri,48,2017,52
Fri,49,2016,45
Fri,49,2017,56
Fri,50,2016,46
Fri,50,2017,54
Fri,51,2016,44
Fri,51,2017,72
Fri,52,2016,46
Fri,52,2017,42
Fri,53,2016,52
Sat,1,2016,49
Sat,1,2017,41
Sat,2,2016,31
Sat,2,2017,46
Sat,3,2016,35
Sat,3,2017,60
Sat,4,2016,46
Sat,4,2017,37
Sat,5,2016,39
Sat,5,2017,46
Sat,6,2016,43
Sat,6,2017,57
Sat,7,2016,30
Sat,7,2017,47
Sat,8,2016,41
Sat,8,2017,39
Sat,9,2016,38
Sat,9,2017,53
Sat,10,2016,35
Sat,10,2017,54
Sat,11,2016,37
Sat,11,2017,44
Sat,12,2016,41
Sat,12,2017,48
Sat,13,2016,30
Sat,13,2017,49
Sat,14,2016,29
Sat,14,2017,55
Sat,15,2016,41
Sat,15,2017,42
Sat,16,2016,50
Sat,16,2017,66
Sat,17,2016,49
Sat,17,2017,44
Sat,18,2016,50
Sat,18,2017,60
Sat,19,2016,37
Sat,19,2017,57
Sat,20,2016,49
Sat,20,2017,55
Sat,21,2016,53
Sat,21,2017,56
Sat,22,2016,53
Sat,22,2017,76
Sat,23,2016,44
Sat,23,2017,58
Sat,24,2016,64
Sat,24,2017,62
Sat,25,2016,58
Sat,25,2017,61
Sat,26,2016,48
Sat,26,2017,54
Sat,27,2016,70
Sat,27,2017,59
Sat,28,2016,57
Sat,28,2017,66
Sat,29,2016,57
Sat,29,2017,53
Sat,30,2016,45
Sat,30,2017,61
Sat,31,2016,65
Sat,31,2017,62
Sat,32,2016,43
Sat,32,2017,68
Sat,33,2016,59
Sat,33,2017,48
Sat,34,2016,50
Sat,34,2017,64
Sat,35,2016,58
Sat,35,2017,68
Sat,36,2016,63
Sat,36,2017,61
Sat,37,2016,64
Sat,37,2017,61
Sat,38,2016,61
Sat,38,2017,52
Sat,39,2016,56
Sat,39,2017,62
Sat,40,2016,51
Sat,40,2017,75
Sat,41,2016,43
Sat,41,2017,68
Sat,42,2016,68
Sat,42,2017,62
Sat,43,2016,61
Sat,43,2017,53
Sat,44,2016,64
Sat,44,2017,58
Sat,45,2016,54
Sat,45,2017,45
Sat,46,2016,55
Sat,46,2017,41
Sat,47,2016,48
Sat,47,2017,62
Sat,48,2016,61
Sat,48,2017,49
Sat,49,2016,46
Sat,49,2017,65
Sat,50,2016,60
Sat,50,2017,41
Sat,51,2016,38
Sat,51,2017,49
Sat,52,2016,40
Sat,52,2017,38
Sat,53,2016,36
